Owner,Year,Round,Original Owner
P-O,2027,7th,P-O
P-O,2027,8th,P-O
P-O,2027,8th,Allaire
P-O,2028,1st,P-O
P-O,2028,2nd,P-O
P-O,2028,3rd,P-O
P-O,2028,4th,P-O
P-O,2028,5th,P-O
P-O,2028,6th,P-O
P-O,2028,7th,P-O
P-O,2028,8th,P-O
Jeff,2026,3rd,Jeff
Jeff,2026,5th,Jeff
Jeff,2026,6th,Allaire
Jeff,2026,6th,Jeff
Jeff,2026,7th,Jeff
Jeff,2026,7th,Dufour
Jeff,2026,8th,Rudy
Jeff,2026,8th,Jeff
Jeff,2027,1st,Jeff
Jeff,2027,2nd,Jeff
Jeff,2027,3rd,Jeff
Jeff,2027,4th,Jeff
Jeff,2027,5th,Jeff
Jeff,2027,6th,Jeff
Jeff,2027,7th,Jeff
Jeff,2027,8th,Jeff
Jeff,2028,1st,Jeff
Jeff,2028,2nd,Jeff
Jeff,2028,3rd,Jeff
Jeff,2028,4th,Jeff
Jeff,2028,5th,Jeff
Jeff,2028,6th,Jeff
Jeff,2028,7th,Jeff
Jeff,2028,8th,Jeff
Desbiens,2026,1st,Desbiens
Desbiens,2026,2nd,Desbiens
Desbiens,2026,2nd,Allaire
Desbiens,2026,3rd,Desbiens
Desbiens,2026,6th,Desbiens
Desbiens,2026,7th,Desbiens
Desbiens,2026,7th,Thomas
Desbiens,2026,8th,Desbiens
Desbiens,2027,1st,Desbiens
Desbiens,2027,2nd,Desbiens
Desbiens,2027,3rd,Desbiens
Desbiens,2027,4th,Desbiens
Desbiens,2027,5th,Desbiens
Desbiens,2027,6th,Desbiens
Desbiens,2027,7th,Desbiens
Desbiens,2027,8th,Desbiens
Desbiens,2028,1st,Desbiens
Desbiens,2028,2nd,Desbiens
Desbiens,2028,3rd,Desbiens
Desbiens,2028,4th,Desbiens
Desbiens,2028,5th,Desbiens
Desbiens,2028,6th,Desbiens
Desbiens,2028,7th,Desbiens
Desbiens,2028,8th,Desbiens
Bureau,2026,2nd,Bureau
Bureau,2026,4th,Bureau
Bureau,2026,5th,Bureau
Bureau,2026,5th,Thomas
Bureau,2026,6th,Bureau
Bureau,2026,7th,Ludo
Bureau,2026,7th,Bureau
Bureau,2026,7th,Doc
Bureau,2027,1st,Bureau
Bureau,2027,1st,Dufour
Bureau,2027,2nd,Bureau
Bureau,2027,3rd,Bureau
Bureau,2027,6th,Bureau
Bureau,2027,7th,Bureau
Bureau,2027,8th,Dufour
Bureau,2027,8th,Bureau
Bureau,2028,1st,Bureau
Bureau,2028,2nd,Bureau
Bureau,2028,3rd,Bureau
Bureau,2028,4th,Bureau
Bureau,2028,5th,Bureau
Bureau,2028,6th,Bureau
Bureau,2028,7th,Bureau
Bureau,2028,8th,Bureau
Tomy,2026,4th,Doc
Tomy,2026,4th,Bernard
Tomy,2026,4th,Rudy
Tomy,2026,4th,Tomy
Tomy,2026,5th,Rudy
Tomy,2026,5th,Tomy
Tomy,2026,5th,Dufour
Tomy,2026,6th,P-O
Tomy,2027,3rd,Tomy
Tomy,2027,4th,Tomy
Tomy,2027,5th,Raphael
Tomy,2027,5th,Tomy
Tomy,2027,6th,Raphael
Tomy,2027,6th,Tomy
Tomy,2027,7th,Tomy
Tomy,2027,8th,Tomy
Tomy,2028,1st,Tomy
Tomy,2028,2nd,Tomy
Tomy,2028,3rd,Tomy
Tomy,2028,4th,Tomy
Tomy,2028,5th,Tomy
Tomy,2028,6th,Tomy
Tomy,2028,7th,Tomy
Tomy,2028,8th,Tomy
Frank T,2026,1st,Frank T
Frank T,2026,1st,Allaire
Frank T,2026,2nd,Frank T
Frank T,2026,3rd,Frank T
Frank T,2026,4th,Dufour
Frank T,2026,5th,Frank T
Frank T,2026,6th,Frank T
Frank T,2026,8th,Frank T
Frank T,2027,1st,Frank T
Frank T,2027,2nd,Frank T
Frank T,2027,3rd,Frank T
Frank T,2027,4th,Frank T
Frank T,2027,5th,Frank T
Frank T,2027,6th,Frank T
Frank T,2027,7th,Frank T
Frank T,2027,8th,Frank T
Frank T,2028,1st,Frank T
Frank T,2028,2nd,Frank T
Frank T,2028,3rd,Frank T
Frank T,2028,4th,Frank T
Frank T,2028,5th,Frank T
Frank T,2028,6th,Frank T
Frank T,2028,7th,Frank T
Frank T,2028,8th,Frank T
Bernard,2026,1st,Bernard
Bernard,2026,1st,P-O
Bernard,2026,2nd,Bernard
Bernard,2026,3rd,Bernard
Bernard,2026,4th,Jeff
Bernard,2026,5th,Bernard
Bernard,2026,6th,Tomy
Bernard,2026,7th,Bernard
Bernard,2027,1st,Bernard
Bernard,2027,2nd,Bernard
Bernard,2027,3rd,Bernard
Bernard,2027,4th,Bernard
Bernard,2027,5th,Bernard
Bernard,2027,6th,Bernard
Bernard,2027,7th,Bernard
Bernard,2027,8th,Bernard
Bernard,2028,1st,Bernard
Bernard,2028,2nd,Bernard
Bernard,2028,3rd,Bernard
Bernard,2028,4th,Bernard
Bernard,2028,5th,Bernard
Bernard,2028,6th,Bernard
Bernard,2028,7th,Bernard
Bernard,2028,8th,Bernard
